setting,Accuracy,Precision,Recall,F-score,adjAccuracy,adjPrecision,adjRecall,adjF-score
24-12-05_15-38-34anomaly_detection_AE_UCRA_003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.99021465,0.2518518518518518,0.22666667,0.23859648,0.99981964,0.97402596,1.0,0.9868421
24-12-05_15-42-03anomaly_detection_AE_UCRA_004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.921875,0.05578512396694215,0.135,0.078947365,0.9905754,0.7246377,1.0,0.84033614
24-12-05_15-42-25anomaly_detection_AE_UCRA_005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.0002480159,0.000248015873015873,1.0,0.0004959088,0.0002480159,0.0002480159,1.0,0.0004959088
24-12-05_15-42-59anomaly_detection_AE_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.98338294,0.42168674698795183,0.5080645,0.4608632,0.9999098,0.99358976,1.0,0.99678457
24-12-05_15-46-43anomaly_detection_AE_UCRA_002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9853445,0.06467661691542288,0.086666666,0.074074075,0.9988952,0.8595989,1.0,0.9244992
24-12-05_15-50-18anomaly_detection_AE_UCRA_003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.98166937,0.11195158850226929,0.24666667,0.15400624,0.9987599,0.8450704,1.0,0.9160305
24-12-05_15-53-50anomaly_detection_AE_UCRA_004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.64310515,0.029184247538677918,0.415,0.054533508,0.9577133,0.36968577,1.0,0.5398111
24-12-05_15-54-15anomaly_detection_AE_UCRA_005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.0002480159,0.000248015873015873,1.0,0.0004959088,0.0002480159,0.0002480159,1.0,0.0004959088
24-12-05_15-54-50anomaly_detection_AE_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9814439,0.3322314049586777,0.32419354,0.32816327,0.99968433,0.97791797,1.0,0.98883575
24-12-05_15-58-21anomaly_detection_AE_UCRA_002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.97785896,0.025069637883008356,0.06,0.035363458,0.9935516,0.51194537,1.0,0.6772009
24-12-05_16-01-55anomaly_detection_AE_UCRA_003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9596636,0.03786468032278088,0.20333333,0.06384092,0.99715906,0.70422536,1.0,0.8264463
24-12-05_16-05-28anomaly_detection_AE_UCRA_004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.6545139,0.026373626373626374,0.36,0.049146757,0.97098213,0.4608295,1.0,0.6309148
24-12-05_16-05-53anomaly_detection_AE_UCRA_005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.0002480159,0.000248015873015873,1.0,0.0004959088,0.0002480159,0.0002480159,1.0,0.0004959088
24-12-05_16-06-29anomaly_detection_AE_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.89421,0.04835847382431233,0.3516129,0.0850234,0.99393487,0.69741285,1.0,0.8217363
24-12-05_16-10-07anomaly_detection_AE_UCRA_002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.006764069,0.006764069264069264,1.0,0.013437248,0.9647592,0.16103059,1.0,0.2773925
24-12-05_16-14-24anomaly_detection_AE_UCRA_003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9780393,0.02130681818181818,0.05,0.029880479,0.99808353,0.77922076,1.0,0.8759124
24-12-05_16-18-06anomaly_detection_AE_UCRA_004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.024801588,0.0248015873015873,1.0,0.04840271,0.98400295,0.60790277,1.0,0.7561437
24-12-05_16-18-37anomaly_detection_AE_UCRA_005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.7217262,0.0008904719501335708,1.0,0.0017793594,0.7217262,0.000890472,1.0,0.0017793594
